闵贞莎	210101	9	8	3	0	4
余月珍	210102	9	8	2	0	5
蒋姬滢	210103	8	9	4	0	3
安函	210104	9	9	1	0	4
柯伯蓉	210105	8	8	0	0	0
于君妤	210106	8	9	5	0	3
苏瑞	210107	8	8	1	0	5
韩依伦	210108	10	8	2	0	1
余秋	210109	8	9	0	0	5
江纯瑾	210110	10	10	0	0	3
张风莲	210111	9	9	5	0	0
傅融	210112	8	9	2	0	5
屈钧寒	210113	10	8	3	0	4
胡岚策	210114	8	8	2	0	3
徐行和	210115	8	10	1	0	2
胡航纨	210116	10	8	0	0	4
汤娜妤	210117	8	8	0	0	0
闵怡	210118	9	8	1	0	2
郎晶固	210119	9	10	2	0	5
舒婵	210120	8	8	5	0	5
凌瑞言	210121	10	8	1	0	3
姚珍建	210122	9	10	1	0	5
邹珠	210123	9	10	2	0	0
霍馨惠	210124	8	8	4	0	4
朱漩菲	210125	9	8	2	0	3
蒋霄	210126	8	8	1	0	4
凤香	210127	10	8	0	0	5
史思秋	210128	9	10	0	0	0
蔡希蕊	210129	8	8	1	0	4
凤启	210130	10	8	5	0	3
史枫寒	210131	10	10	1	0	1
祁倩	210132	10	9	0	0	0
凤莲兰	210133	10	9	4	0	5
施媛巧	210134	9	8	3	0	4
娄艳鸣	210201	8	8	2	0	5
锺青秀	210202	10	8	1	0	4
时枫斌	210203	9	8	5	0	2
韩欢莉	210204	10	10	2	0	4
施建	210205	10	9	3	0	4
田铎全	210206	8	10	1	0	2
齐娅雁	210207	8	10	4	0	0
阮霭	210208	10	8	5	0	3
郑淇	210209	10	9	3	0	2
孙云	210210	8	9	5	0	5
支全	210211	10	9	3	0	2
毕秋	210212	10	10	3	0	4
金云	210213	10	9	5	0	0
卫晨涵	210214	9	9	4	0	2
梁珍奇	210215	8	8	3	0	4
尹梁瑗	210216	10	10	1	0	1
郎钧	210217	9	9	2	0	4
潘君怡	210218	8	10	2	0	3
陶若	210219	9	9	5	0	4
马欣源	210220	8	8	2	0	0
禹寒韵	210221	10	9	0	0	2
计爽珍	210222	9	8	4	0	1
田德	210223	8	10	1	0	3
尤美雄	210224	9	9	2	0	1
鲍克莉	210225	9	9	4	0	0
窦翔斌	210226	9	10	1	0	1
项妍雁	210227	9	10	2	0	1
明羽旭	210228	8	8	1	0	2
鲁滢云	210229	10	9	0	0	2
禹雨	210230	10	8	5	0	2
霍航柏	210231	8	8	5	0	3
锺媛	210232	9	10	4	0	3
董茜卿	210233	8	8	0	0	5
锺伦	210234	8	8	5	0	3
骆青娜	210235	10	10	2	0	1
禹雅	210236	8	8	3	0	5
汪怡凝	210237	9	9	4	0	3
闵韵影	210301	9	10	0	0	0
曹伯	210302	10	8	2	0	3
茅芸毓	210303	9	9	5	0	5
马影	210304	10	8	2	0	4
闵艳士	210305	10	8	4	0	0
孟珍	210306	9	10	4	0	0
祁航惠	210307	9	10	4	0	5
黄妍琬	210308	9	10	0	0	3
喻妍	210309	8	8	5	0	5
沈树洁	210310	10	9	3	0	5
章漩媛	210311	8	8	4	0	1
冯伦斌	210312	8	9	3	0	5
姜姬蕊	210313	10	8	1	0	4
倪淳媛	210314	8	9	1	0	0
梅启	210315	9	8	2	0	4
王晓惠	210316	8	9	3	0	5
杨黛嘉	210317	10	10	3	0	3
唐漩华	210318	10	8	5	0	0
严克	210319	8	8	2	0	2
尤舒莲	210320	9	10	4	0	2
董勤妤	210321	9	10	3	0	0
韦玲雪	210322	10	9	5	0	4
莫宜梦	210323	8	10	5	0	5
殷鹏茹	210324	10	9	4	0	1
袁华乐	210325	10	8	1	0	2
邬瑶	210326	9	8	0	0	4
安宁毓	210327	9	8	5	0	0
褚希怡	210328	10	10	2	0	0
成淑芝	210329	9	8	1	0	0
倪澜秀	210330	8	10	0	0	0
严兰	210331	10	8	0	0	3
狄漩月	210332	8	9	2	0	0
周珠先	210333	9	8	1	0	2
葛涵丽	210334	9	10	5	0	1
支璐	210401	10	8	4	0	0
曹琛	210402	10	8	3	0	2
彭宜晴	210403	8	8	4	0	4
莫悦	210404	10	10	4	0	4
卞铎韵	210405	8	10	0	0	1
殷娅钧	210406	9	9	1	0	4
钱翰纯	210407	9	8	2	0	2
施巧倩	210408	9	10	2	0	5
安翔媛	210409	9	9	1	0	3
黄兰育	210410	8	8	3	0	4
支伦固	210411	8	10	1	0	2
董霄乐	210412	9	9	0	0	1
田园	210413	10	10	2	0	0
董树	210414	9	9	5	0	3
梁雅勤	210415	8	8	0	0	1
苗巧枫	210416	8	9	2	0	0
宋皑柏	210417	9	10	0	0	0
华娟渊	210418	8	10	4	0	2
齐静悦	210419	10	9	1	0	3
奚素	210420	8	9	1	0	1
戴育	210421	10	8	1	0	3
闵芝	210422	8	9	5	0	3
杜艳全	210423	10	10	3	0	4
夏寒环	210424	10	10	0	0	5
管淇艺	210425	9	10	0	0	5
麻夕苑	210426	10	8	1	0	3
韩希	210427	9	10	1	0	3
夏建芸	210428	9	10	2	0	0
常妤	210429	9	10	3	0	4
韩琳妍	210430	8	9	2	0	1
潘茹建	210431	9	9	4	0	2
戴妤	210432	8	8	0	0	1
伏楠	210433	8	9	4	0	2
阮琛	210434	8	8	5	0	5
郭固瑶	210435	8	8	2	0	3
席梦美	210501	10	8	5	0	0
华雅娜	210502	8	9	1	0	5
马希荣	210503	9	10	2	0	3
芸小天	210504	9	10	3	0	1
霍奇	210505	8	8	3	0	2
熊依玲	210506	9	9	5	0	0
时鹏	210507	8	10	5	0	2
华德先	210508	8	8	2	0	2
曹榕晴	210509	8	9	2	0	0
陈霞	210510	9	10	1	0	3
茅莹榕	210511	9	9	1	0	2
陈妍	210512	10	10	0	0	4
徐荷	210513	10	8	3	0	3
锺融	210514	10	10	5	0	0
褚叶洁	210515	9	9	1	0	4
赵凝	210516	10	8	3	0	1
钱怡	210517	8	8	3	0	3
潘晶凡	210518	8	9	2	0	4
姜竹	210519	9	9	3	0	5
苗澜慧	210520	10	10	2	0	3
钱斌	210521	9	9	2	0	5
万悦悦	210522	8	9	2	0	3
危梁	210523	8	9	2	0	3
娄婉策	210524	10	9	2	0	4
范琰琦	210525	10	9	5	0	2
顾娟滢	210526	8	10	1	0	3
谈柏晓	210527	8	8	0	0	1
樊莹渊	210528	10	8	2	0	3
蒋欢琳	210529	8	8	0	0	5
廉仪思	210530	8	10	0	0	4
项娟	210531	10	10	0	0	0
施凤薇	210532	10	9	2	0	4
陶弘晶	210533	9	10	5	0	5
昌亨瑗	210534	8	8	0	0	0
虞蕊	210535	9	10	5	0	1
萧青若	210536	8	9	4	0	3
沈雪致	210537	9	10	4	0	4
湛琰华	210538	9	9	1	0	3
伍钧时	210601	9	9	1	0	2
柳怡	210602	9	9	2	0	4
汤凡士	210603	10	9	1	0	0
时琳妤	210604	8	9	3	0	2
俞彤	210605	10	10	4	0	0
孟蓉	210606	10	10	0	0	4
高梦薇	210607	10	10	2	0	3
窦悦晴	210608	8	9	3	0	4
马琳妍	210609	9	9	3	0	4
邬旭怡	210610	9	8	4	0	4
娄泽昭	210611	10	10	3	0	2
凤昭纨	210612	10	8	2	0	4
吕源昭	210613	9	8	3	0	2
茅琰依	210614	9	8	1	0	0
禹娟英	210615	9	10	0	0	4
曹奕育	210616	9	10	3	0	2
季雄姣	210617	10	9	5	0	2
于玉	210618	9	8	1	0	1
冯依育	210619	9	10	3	0	1
夏致	210620	8	9	1	0	3
杜涵之	210621	9	10	1	0	4
危雨依	210622	9	10	3	0	5
史雪梦	210623	8	10	4	0	2
喻琬	210624	9	10	0	0	5
毕谦青	210625	9	10	1	0	2
邹芳元	210626	9	10	2	0	2
雷晶月	210627	10	9	3	0	3
姚媛冰	210628	9	10	1	0	4
唐雪雁	210629	10	9	2	0	0
高泽先	210630	9	8	0	0	5
褚嫣青	210631	8	8	3	0	0
祁铭茜	210632	10	9	3	0	1
吴妤菁	210633	9	10	0	0	1
董斌	210634	9	10	1	0	5
颜昭莉	210635	10	8	1	0	3
颜霞漩	210701	10	9	4	0	4
孙韵荔	210702	10	8	1	0	2
萧宁淳	210703	9	9	2	0	0
